id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,92602.0,1848337735113,1,1848337735113.0,73900200553.0,94001.0,91958.0,-471.9663662648818,-0.50709,-8125705284.010986,-0.4377,19957478.0,19957478.0,21000000.0,126080.0,-26.25007,2025-10-06T18:57:42.558Z,67.81,137026.07907,2013-07-06T00:00:00.000Z,,2025-12-04T13:10:44.954Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3162.09,381674998858,2,381674998858.0,31237877632.0,3231.79,3039.36,73.0,2.36316,9141277508.0,2.45381,120695430.4864399,120695430.4864399,,4946.05,-35.79261,2025-08-24T19:21:03.333Z,0.432979,733360.4664,2015-10-20T00:00:00.000Z,"{'times': 44.65557776314821, 'currency': 'btc', 'percentage': 4465.55777631482}",2025-12-04T13:10:45.156Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,185313462233,3,190780731178.0,94641742989.0,1.0,0.999979,-0.000246378302732664,-0.02463,567774411.0,0.30733,185302189889.7531,190769126268.7462,,1.32,-24.41853,2018-07-24T00:00:00.000Z,0.572521,74.66868,2015-03-02T00:00:00.000Z,,2025-12-04T13:10:49.125Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.14,129277937291,4,214248326224.0,3332041579.0,2.21,2.14,-0.03699364133175953,-1.69748,-2132347134.7179413,-1.62266,60331635327.0,99985752852.0,100000000000.0,3.65,-41.15497,2025-07-18T03:40:53.808Z,0.00268621,79778.89652,2014-05-22T00:00:00.000Z,,2025-12-04T13:10:47.528Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,904.99,124662368310,5,124662368310.0,1883833231.0,927.44,893.11,0.214022,0.02365,281780295.0,0.22655,137736089.22,137736089.22,200000000.0,1369.99,-33.66122,2025-10-13T08:41:24.131Z,0.0398177,2282392.06192,2017-10-19T00:00:00.000Z,,2025-12-04T13:10:44.657Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,142.59,79857138512,6,87785284430.0,5706587620.0,146.14,139.68,0.573861,0.40409,358916344.0,0.45148,559773151.5437202,615346933.7891213,,293.31,-51.26962,2025-01-19T11:15:27.957Z,0.500801,28440.67234,2020-05-11T19:35:23.449Z,,2025-12-04T13:10:47.783Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999778,78025468381,7,78025973287.0,7315112285.0,0.999959,0.999699,-8.8788366787274e-05,-0.00888,172540103.0,0.22162,78043057898.24808,78043562918.1752,,1.17,-14.74788,2019-05-08T00:40:28.300Z,0.877647,13.91337,2023-03-11T08:02:13.981Z,,2025-12-04T13:10:49.707Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3164.95,27394136484,8,27394136484.0,25104443.0,3224.59,3042.57,78.93,2.55766,716106783.0,2.68426,8651529.514338216,8651529.514338216,,4932.89,-35.59691,2025-08-24T19:21:31.902Z,482.9,557.89208,2020-12-22T04:08:21.854Z,,2025-12-04T13:10:47.774Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.281295,26634859793,9,26634869350.0,551104331.0,0.281334,0.278628,0.00106949,0.38165,106795731.0,0.40258,94679046633.994,94679080606.97209,,0.431288,-34.80651,2024-12-04T00:10:40.323Z,0.00180434,15483.07553,2017-11-12T00:00:00.000Z,"{'times': 147.05003415680554, 'currency': 'usd', 'percentage': 14705.003415680552}",2025-12-04T13:10:49.107Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.149348,22706956370,10,24130636997.0,1269657771.0,0.152865,0.147754,-0.000600070447246831,-0.40018,-89959770.14945221,-0.39461,152029526383.7052,161561472798.579,,0.731578,-79.57494,2021-05-08T05:08:23.458Z,8.69e-05,171843.39262,2015-05-06T00:00:00.000Z,,2025-12-04T13:10:53.639Z
